	pmv2	pms1	pms2	pmf6	pmv1	pev4	psv1	psf9	pff16	pfv7	psv16	pff3	pff31	psv4	pff2	pss19	psv24	pfs4	pff10	pfs3	pff9	pfs10	pff4	psv23	pfv26	pfs27	pfs14	pff13	pfs11	pfs15	pfv16	pfs22	pff32	pfs13	pmf3	pfv18	pss1	pff12	pfs28	pfv10	pss7	pff29	pss15	psf4	pmv3	pff30	pff15	pff28	pfv9	pev1	pss16	pfs1	pss11	pfv12	psf2	psv19	pfv22	pfv11	psf7	pfv21	pfv3	psv26	pfs23	pff6	pfv14	pfv15	pev3	pfv24	psv7	psf8	pef1	psf13	pev9	pfs7	pff7	pss14	pff11	pfs17	pfs30	psf11	psf12	psv20	pfs20	pss21	pev6	pff26	psv10	psv22	psf18	psv13	psf16	pss13	psv2	pmf2	psv8	pss4	pss10	psv3	pss2	pfs24	pff5	pff25	psv25	pff8	pfv17	psv12	pss22	pfv25	psv9	pmf5	pes3	pff33	psv5	pfv1	pfs16	pes2	psv14	psv15	pfv2	pev7	pfv8	pfv5	psf17	pss24	pfs19	pss6	pss3	pss5	pss18	psv17	psv18	pss17	pfs5	pss8	pfs8	pev5	pev8	pfv20	pss12	pcv2	pff27	pcs1	pev2	psv11	psv6	pfv4	pfv23	pfs21	pfv6	psf6	pmf1	psf14	pfs26	psf15	pfv13	pcv3	pfs9	pcf1	pfs6	pes1	psf10	pss23	pcv1	pfs12	pss20	psf5	pfs25	pfs18	pcs2	pfs29	psv28	psv21	pss9	psf3	psv27	pff1	pff14
denovo1125	0	0	0	0	0	0	0.023563681	0	0.150117325	0	0	0.030192334	0	0	0.055300126	0	0	0.063855086	0.037688918	0.907119807	0	0	0.879187716	0	0.033287133	0.018399023	0	0.922885639	0	0	0.019323897	0	0.022750788	0	0.30895719	0	0	0.894562947	0.916654565	0.022282826	0	0.017549262	0.022875451	0.048101389	0.083318108	0	0	0	0	0.033851335	0	0.032721	0.035245369	0	0	0	0	0	0	0.01544321	0.034401046	0	0	0.16170864	0.022786198	0.037450294	0.062317695	0.019270005	0	0	0	0	0.025310373	0.176546966	0.096225045	0	0	0.801433761	0	0	0.025632601	0	0.874273765	0	0.098058068	0	0	0.047836487	0	0	0	0	0	0	0	0	0	0	0.061780206	0.048090264	0.894046016	0.048602518	0	0.041996053	0.307862171	0	0	0.044079532	0.03086067	0.491634525	0.018861211	0.025607376	0	0	0.106298801	0	0	0	0	0	0	0.528190787	0	0	0.68021728	0	0	0	0	0	0	0.903225513	0	0	0	0	0	0.725713037	0.028318274	0	0	0	0.040488817	0	0	0	0	0.381284091	0.019952172	0	0	0	0	0	0	0.023980057	0	0.363581876	0.020420925	0.370479287	0	0	0.018045133	0	0	0	0.056077215	0.028519095	0	0.041227621	0	0	0	0.028127198	0	0.077708734	0.851578984
denovo3013	0.017554669	0	0	0.021910655	0	0	0	0	0.225175988	0.329202649	0	0.243418378	0.228187261	0	0.287347886	0.182291782	0.230146592	0	0.313067666	0.080257235	0.256619677	0.238001849	0.037816712	0.067780386	0.141225346	0.097358477	0.298709593	0	0.212431255	0.226626381	0.216910206	0.12051067	0.20475709	0.189422479	0	0.160910635	0	0.140473654	0.051598516	0.137360564	0	0.297303351	0	0.170742993	0	0.211086728	0.223822115	0.194720705	0.161069538	0.019544078	0.015509935	0.196325997	0.194648912	0.279954382	0.1904522	0.159597047	0.156404131	0.037986859	0.191805364	0.161231843	0.210662522	0.192897129	0.140605653	0.127400308	0.216168851	0.192179984	0	0.11069775	0.195047374	0.229577617	0.193705485	0.025993762	0.282978575	0.124837557	0.146986184	0.168338572	0.261574182	0.301055545	0.164495664	0	0	0.138515316	0.133845289	0.143554638	0	0.152692383	0.150268577	0	0	0	0	0.188533879	0.049446818	0	0.01933473	0.026425821	0	0.021152477	0	0.247092248	0.089974669	0.220949989	0.119558449	0.024246432	0.205350127	0	0.232000781	0.193816322	0	0.256933201	0	0.140257375	0	0.153998101	0.206469578	0	0	0	0.21821789	0	0.220114648	0.31565437	0.104059456	0.156173762	0.265324541	0	0	0	0	0.148223594	0.029117295	0	0.173858276	0	0	0	0	0.232083809	0.230058742	0.230755577	0.171010282	0	0.12146645	0.154841932	0.208514414	0.295163026	0.122313654	0.262983265	0.163315567	0.136407002	0	0.208462331	0.172175111	0	0.207950098	0.131344181	0.131854864	0	0.13075772	0.140028008	0	0	0.025519672	0.308130675	0	0.25255892	0.202189276	0.161328361	0.06984303	0.200565772	0.181119388	0.291893463	0.136115934	0.184442369	0.249345453	0.214228196	0.210452579
denovo3982	0	0	0	0	0.633231789	0.034745409	0.023563681	0.018021675	0	0	0	0	0.036539205	0.415508009	0.031927543	0.829330935	0.056487259	0	0	0	0.06984303	0	0	0.055342453	0	0	0	0.034720966	0	0.038866104	0	0	0	0.018942248	0.483045892	0	0	0.017423612	0	0.507637791	0.625338542	0	0	0.021511595	0	0	0	0	0	0	0.021934361	0	0.024922239	0	0.038875892	0.274581143	0	0	0.057831493	0.01544321	0	0	0	0	0	0	0	0	0.18552706	0.043386092	0.02953981	0	0	0	0	0.119033345	0.032444284	0	0	0	0.025632601	0.039178048	0	0.060053214	0	0	0	0.49017813	0.797296239	0.026584089	0.895262324	0.062844626	0.098893635	0.880986018	0.975973035	0	0.065465367	0.313741939	0	0.074501116	0	0	0.034513551	0	0	0.053799219	0.037635496	0.02544933	0.832952294	0	0	0.036214298	0	0	0	0	0	0.266490665	0	0	0	0.024573659	0	0	0	0	0.027131273	0.052438258	0.118652057	0.026621743	0.909420342	0	0	0.327149854	0	0	0.018405254	0	0.181325424	0.234191333	0	0.959209699	0	0	0.078254065	0.043519414	0.019841895	0	0	0.043685203	0.163626898	0.031606977	0	0.043123082	0	0.023980057	0	0.045329841	0	0.140028008	0	0.572901714	0.098837265	0	0.032384683	0.045360921	0	0	0.790183677	0	0.079681907	0.536137992	0	0.062894326	0.611244622	0	0.023100172
denovo4200	0.039253434	0	0	0	0.067863578	0.034745409	0	0	0	0	0	0.030192334	0	0	0	0	0	0	0	0	0.04938648	0	0	0	0	0	0	0	0.818583921	0	0	0	0.022750788	0.018942248	0	0	0	0	0	0	0	0.017549262	0	0	0	0	0	0	0.034340141	0	0	0	0	0	0	0	0	0	0	0.01544321	0	0	0	0	0	0	0	0	0	0	0	0	0.050620746	0	0	0	0.032444284	0	0	0	0	0	0.021432399	0	0	0	0	0	0	0	0	0.039746432	0.049446818	0	0	0	0	0	0	0.649485671	0	0	0	0.818833285	0	0	0	0	0	0	0.037722422	0	0	0	0	0.035623525	0	0	0	0.781670758	0	0	0	0	0.024529262	0.015801515	0	0	0	0	0	0	0	0	0	0.879577558	0	0	0	0	0	0	0	0	0.017498141	0	0	0	0.082264913	0	0	0	0.01814885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo4428	0	0	0.115680574	0	0	0	0	0	0.458103869	0.070186241	0	0.229937965	0.648506552	0	0.146310382	0	0	0	0.216506351	0	0	0	0.23692102	0	0.141225346	0.036798045	0.032986956	0.069441933	0	0	0	0.257662651	0	0.238100364	0	0.11066312	0	0.030178582	0.205100043	0.11578496	0	0	0	0	0	0	0	0	0	0.033851335	0.03468127	0	0	0	0	0	0.07953895	0	0	0.084585943	0	0	0.247924526	0.789927574	0	0.030578037	0	0.047201679	0	0	0	0	0.025310373	0.846689504	0.878410461	0.02334436	0.186378223	0.024581082	0.062622429	0	0	0	0.238661095	0	0	0	0.049186938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258638565	0	0	0.269996843	0	0	0	0.084405879	0	0	0.156672987	0.044353276	0	0	0.218553869	0.379798682	0	0	0.211107898	0.390248098	0	0.034752402	0	0	0.313168659	0	0	0	0	0	0	0	0.425864065	0	0.737209781	0	0	0	0.028318274	0	0	0	0	0	0	0	0	0.127402806	0	0	0.159483772	0	0.145190802	0	0.207950098	0	0	0.026171196	0	0	0	0	0	0	0	0	0	0.108597477	0	0.062976231	0	0	0	0	0	0.366139278	0
denovo4796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022576182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90411165	0	0	0	0	0	0	0	0	0	0	0.024325213	0	0	0	0	0	0	0	0	0	0	0	0.202482985	0	0	0	0	0	0	0	0	0	0	0	0.098058068	0	0	0	0	0	0	0	0	0.033709993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098005728	0	0	0	0	0.500845309	0.163111939	0	0	0.095782629	0	0	0	0	0	0	0	0	0	0	0	0.022587698	0	0	0	0	0.913798173	0	0	0	0	0	0	0	0	0	0.028060677	0	0	0	0	0	0	0	0.051987524	0	0	0	0	0.140028008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024105135	0	0
denovo6120	0	0	0	0	0.0175223	0	0	0	0.309474794	0.31388241	0	0.275065253	0.338850645	0	0.345349178	0.100231571	0.25762154	0	0.330718914	0	0.382546028	0.35852518	0	0	0.156130494	0.110394136	0.321517079	0	0.082619238	0.289110871	0.275323152	0.132796291	0.206017145	0.249146372	0	0.222901535	0	0.046098545	0.039968038	0.162221421	0	0.154990885	0	0.212953928	0	0.096071796	0.207052905	0.216461853	0.203159014	0.019544078	0	0.190794574	0.153631001	0.323263475	0.241740123	0.148004213	0.21243502	0.075973718	0.257333899	0.2106173	0.240807321	0.191797991	0.200645973	0.169867078	0.254757434	0.261258865	0	0.175558099	0.255376959	0.274397736	0.277107977	0	0.255622239	0.134839972	0.207869855	0.232273446	0.282842712	0.088628353	0.200978001	0	0	0.166218379	0.037122004	0.120106427	0	0.193142285	0.212511859	0	0	0	0	0.206528517	0	0	0	0	0	0	0	0.177348129	0	0.329638313	0.175985272	0.024246432	0.175851343	0	0.293942624	0.17631813	0	0.064741081	0	0.188175014	0	0.20565138	0.278487366	0	0.030289127	0	0.236993789	0	0.25244332	0.198119176	0.104059456	0.156173762	0.127457787	0	0	0	0.029663014	0.17046233	0	0	0.161333653	0	0	0	0	0.0903385	0.347980772	0.213993919	0.159965471	0	0.070128687	0.222374795	0.097425525	0.358870281	0.196424737	0.252020767	0.213963209	0.209506873	0.051743368	0.198646771	0.175021173	0	0.289454286	0.160863112	0.056741299	0	0.12915327	0	0	0	0	0.384662807	0	0.371295142	0.285938816	0.174643074	0.06984303	0.174913981	0.254067441	0.107977742	0.136115934	0.262353033	0.10780144	0.266938267	0.136662458
denovo10100	0.134839972	0	0	0.651450614	0.581148958	0.986630956	0.914440873	0.921046893	0	0	0.823445613	0	0	0.802038485	0	0.039314057	0.03572568	0	0.053300179	0.056750435	0	0.033004918	0	0	0.023537558	0.018399023	0	0	0	0	0	0.032207831	0.032174473	0	0.087038828	0	0.882740844	0	0	0	0.046044993	0	0.887142887	0.021511595	0.060445309	0	0.021947564	0	0	0	0	0	0.108633523	0	0	0.022570431	0.029043518	0	0	0.01544321	0	0	0	0	0	0	0.116585732	0.027251902	0	0	0	0.868362859	0	0	0	0.02334436	0.032444284	0.024581082	0.019802951	0.8478423	0.797499377	0.027703063	0	0.039314057	0.098058068	0	0	0.748759462	0.024028467	0.84318092	0	0.028104971	0.915767878	0	0	0.937651291	0.048795004	0.833847716	0.910777986	0.068009903	0	0	0.024404766	0	0.02834101	0.926963828	0.065186592	0.02544933	0	0	0.026673781	0.044353276	0.861590194	0	0	0.029086486	0.88773498	0.850651777	0	0	0	0	0	0.021657404	0.024529262	0.871951619	0.879990631	0.917294871	0.533109647	0	0	0	0.028976379	0.01898316	0	0.043612437	0	0.032986956	0.028318274	0	0	0	0	0	0	0	0	0	0	0	0	0.022349508	0.01814885	0.021561541	0	0	0	0.026171196	0	0.34299717	0.664625172	0	0.10976426	0	0	0	0.079305159	0	0.120971676	0	0.032530002	0	0.02208092	0	0	0	0.023100172
denovo10122	0.218553869	0.210351581	0.277939936	0.210159622	0.108014714	0.080241085	0.310826306	0.284947703	0.150117325	0.232781426	0.499762527	0.206988213	0.115547111	0.302528777	0.196814592	0.157256227	0.263741669	0.100963755	0.192176529	0.204616605	0.241943352	0.341405527	0.230030077	0.067780386	0.242333988	0.258242589	0.255515864	0.191752805	0.268424242	0.263602741	0.256360463	0.24102134	0.177689333	0.331894995	0.318614425	0.247450259	0.396220905	0.286299167	0.194438105	0.168231646	0.170221224	0.184058212	0.394228376	0.277157516	0.109804357	0.114232278	0.156736958	0.214315071	0.259262379	0.236959348	0.23264903	0.170023301	0.188158781	0.314155629	0.329108405	0.274581143	0.225905554	0.107443062	0.2586303	0.255630606	0.200590843	0.222421804	0.245740127	0.120114163	0.319006766	0.233877013	0.224689646	0.260679793	0.381485781	0.29425879	0.365387265	0.382912029	0.184262298	0.176546966	0.07856742	0.296206718	0.207744783	0.281343346	0.213284308	0.436397999	0.229264951	0.256907639	0.209993766	0.26372671	0.169841555	0.235652297	0.410546449	0.257607368	0.272910919	0.448003029	0.285897719	0.290720084	0.237138607	0.288018307	0.169661565	0.25484139	0.307059789	0.357094915	0.241917699	0.160940805	0.167693189	0.279200208	0.250074438	0.20430407	0.363494861	0.262874019	0.258015965	0.14619527	0.297609524	0.182159208	0.266070126	0.153644256	0.392792202	0.281862804	0.198866846	0.222468842	0.288144969	0.235928354	0.271791416	0.14838581	0.174798007	0.173762012	0.209415615	0.263473692	0.206687239	0.374265823	0.361976336	0.253300849	0.237304114	0.337792055	0.247924834	0.23255458	0.183262714	0.230940108	0.246717582	0.327093281	0.313430187	0.147522153	0.288790859	0.178742501	0.244351294	0.224419705	0.268572425	0.333749324	0.260128566	0.144337567	0.272058354	0.210855702	0.27064443	0.243228916	0.089622143	0.252855816	0.261116484	0.283597793	0.270135101	0.166138708	0.206151377	0.301820958	0.136987729	0.280056017	0.134110445	0.199597548	0.193512495	0.179050792	0.184621099	0.283278862	0.217186121	0.195517062	0.171079785	0.218156063	0.262265264	0.103741659	0.226262103	0.351308584	0.223541824	0.187147414	0.164968222
denovo10202	0	0	0	0	0	0	0	0	0.099293277	0.156941205	0	0.135024222	0.109617614	0	0.191565257	0.048149689	0.12881077	0	0.159900537	0	0.156173762	0.136082763	0	0.039133024	0.040768246	0.052040295	0.171405253	0	0.043544162	0.118737908	0.128180232	0.0557856	0.106710653	0.1182943	0	0.091637769	0	0.024640709	0	0.063025349	0	0.055495639	0	0.074518352	0	0.047200427	0.087790256	0.078518967	0.108593061	0	0	0.065441999	0.043166585	0.147548914	0.130875756	0.067711293	0.071141799	0.053721531	0.121308364	0.072435074	0.097300851	0.091960098	0.073428908	0.060057081	0.126868179	0.105925428	0	0.079452265	0.139009609	0.118817705	0.097972465	0	0.110325359	0.080582296	0.055555556	0.125713224	0.155597321	0.065035431	0.084016805	0	0	0.091880666	0	0.032099793	0	0.096571143	0.089802651	0	0	0	0	0.079492863	0	0	0	0	0	0	0	0.064519859	0	0.134574278	0.069027103	0	0.098176139	0	0.124822821	0.104930275	0	0.026430436	0	0.084930058	0	0.112464311	0.10135193	0	0	0	0.125988158	0	0.080915754	0.085125653	0.056995711	0.053049589	0.049058525	0	0	0	0	0.092220424	0	0	0.086929138	0	0	0	0	0.040400605	0.14439543	0.0979013	0.053321824	0	0.057259833	0.099950037	0.042861517	0.144337567	0.103101509	0.092024973	0.099760861	0.057790091	0	0.074124932	0.057391704	0.021561541	0	0.058738903	0.056741299	0	0.054028689	0	0	0	0	0.172026437	0	0.12830006	0.125392466	0.07270971	0	0.078944883	0.112687234	0.056026899	0.038245276	0.105242336	0.10780144	0.115260679	0.061117309
