"";"psv10";"psf4";"psf8";"pff5";"pfv12";"pff6";"psv8";"pff12";"psv9";"pfv10";"pev2";"pfv13";"tax"
"otu48";1;2;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu205";0;0;0;0;1;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu320";0;0;0;0;9;0;0;0;0;0;0;0;"f:Mortierellaceae"
"otu345";0;0;0;0;0;0;0;0;0;1;0;0;"f:Tulasnellaceae"
"otu433";0;3;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu447";0;0;0;0;0;0;0;0;0;2;0;0;"unidentified"
"otu538";0;1;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu565";0;0;1;0;0;0;0;0;0;1;0;0;"f:Tulasnellaceae"
"otu602";0;7;0;0;0;0;0;0;0;0;0;0;"f:Tulasnellaceae"
"otu673";0;0;0;0;0;8;0;0;0;1;0;0;"unidentified"
"otu704";2;1;7;0;0;0;0;0;0;1;1;0;"f:Tulasnellaceae"
"otu754";0;0;0;0;0;0;0;0;0;0;1;0;"f:Mortierellaceae"
"otu856";0;0;0;0;0;0;0;0;2;0;0;0;"f:Ceratobasidiaceae"
"otu861";0;0;0;0;0;0;0;1;0;0;0;0;"f:Tulasnellaceae"
"otu891";0;0;0;0;1;0;0;0;0;0;0;1;"f:Tulasnellaceae"
"otu929";0;5;0;1750;0;27;0;1954;1;1;1;0;"f:Ceratobasidiaceae"
"otu1009";0;0;0;0;0;0;0;0;16;0;0;0;"f:Ceratobasidiaceae"
"otu1013";0;0;0;0;0;0;0;0;14;0;0;0;"f:Ceratobasidiaceae"
"otu1035";0;0;0;0;0;0;3;0;5;0;0;0;"f:Ceratobasidiaceae"
"otu1123";0;0;0;16;0;0;0;23;0;0;0;0;"f:Ceratobasidiaceae"
"otu1146";0;0;0;5;0;0;0;0;0;0;0;0;"unidentified"
