"","X","variable","value"
"70994","s4554","r565",0.613102924729
"71034","s8555","r565",0.533250618037
"71051","s9916","r565",0.525454804983
"71846","s891","r704",0.57760101574
"71856","s1668","r704",0.61045905975
"71892","s4554","r704",0.772993801695
"71932","s8555","r704",0.720313036362
"71942","s9198","r704",0.539336011058
"71947","s9712","r704",0.631427614345
"71949","s9916","r704",0.719165809933
"74989","s891","r881",0.599727732969
"75438","s891","r891",0.789913363865
"75448","s1668","r891",0.529464310659
"75469","s3189","r891",0.511182632359
"75484","s4554","r891",0.639407562703
"75502","s6630","r891",0.52409262821
"75509","s7713","r891",0.573977881796
"75522","s8545","r891",0.63618088931
"75524","s8555","r891",0.66456286384
"75534","s9198","r891",0.656900119116
"75539","s9712","r891",0.630690465485
"75541","s9916","r891",0.576634297281
"75561","s7072","r891",0.750521900898
"75565","s8332","r891",0.675164935776
"75887","s891","r929",0.705422272624
"76010","s7072","r929",0.507199265898
"76014","s8332","r929",0.671692804265
"76907","s6047","r983",0.518971092607
"77304","s7391","r1009",0.541525491903
"77355","s5338","r1009",0.513231440074
"78244","s3346","r1035",0.570268596052
"80377","s891","r1123",0.694248353527
"80500","s7072","r1123",0.559533486095
"80905","s8447","r1133",0.504222702604
"80911","s8548","r1133",0.509612857954
"81839","s4007","r1210",0.555675322251
"82630","s1251","r1251",0.546100511743
"82632","s1668","r1251",0.609562785741
"82668","s4554","r1251",0.664559024255
"82708","s8555","r1251",0.560382514193
"82723","s9712","r1251",0.527232982318
"82725","s9916","r1251",0.64827787702
"83991","s2499","r1430",0.56274191501
"84013","s4255","r1430",0.67852207021
"84054","s8548","r1430",0.650383528944
"85324","s1251","r1668",0.626640581239
"85326","s1668","r1668",0.711671647149
"85347","s3189","r1668",0.525527062798
"85362","s4554","r1668",0.831641733623
"85402","s8555","r1668",0.765364214683
"85412","s9198","r1668",0.558037796087
"85417","s9712","r1668",0.699033066414
"85419","s9916","r1668",0.792909976949
"85773","s1251","r1725",0.555515514771
"85775","s1668","r1725",0.640131360819
"85796","s3189","r1725",0.533371009779
"85811","s4554","r1725",0.768558781676
"85851","s8555","r1725",0.740751709423
"85861","s9198","r1725",0.583095490021
"85866","s9712","r1725",0.645664690474
"85868","s9916","r1725",0.695009606439
"86226","s1773","r1773",0.549226149629
"88484","s2642","r1924",0.529351402111
"88529","s7391","r1924",0.690651447275
"88580","s5338","r1924",0.699374987105
"88913","s1133","r2063",0.621247577284
"88914","s1210","r2063",0.516438822003
"88981","s7971","r2063",0.655818258028
"89040","s8923","r2063",0.679752748725
"89041","s9171","r2063",0.692684828253
"89436","s8447","r2067",0.501432410049
"89442","s8548","r2067",0.510524536229
"89876","s7391","r2074",0.559703076813
"90280","s2642","r2098",0.51874504608
"90325","s7391","r2098",0.61851356773
"90352","s9327","r2098",0.524246183089
"90376","s5338","r2098",0.681666234487
"90704","s891","r2109",0.688566673
"90827","s7072","r2109",0.509377473455
"90831","s8332","r2109",0.605076763892
"91602","s891","r2240",0.772816576366
"91648","s4554","r2240",0.530697694064
"91688","s8555","r2240",0.513354918698
"91708","s1162","r2240",0.514101164012
"91725","s7072","r2240",0.639300198823
"91729","s8332","r2240",0.529599192949
"92508","s1251","r2339",0.511949276151
"92510","s1668","r2339",0.557578251619
"92546","s4554","r2339",0.586959056125
"92586","s8555","r2339",0.624988756356
"92596","s9198","r2339",0.539568540036
"92601","s9712","r2339",0.642359048748
"92603","s9916","r2339",0.53121500414
"94750","s1133","r2479",0.581975721978
"94818","s7971","r2479",0.570925163986
"94877","s8923","r2479",0.586326810968
"94878","s9171","r2479",0.554396314961
"95308","s3517","r2499",0.58812141435
"96162","s7391","r2571",0.561679032175
"96213","s5338","r2571",0.582517071399
"96566","s2642","r2637",0.535705703248
"96611","s7391","r2637",0.644306309003
"96662","s5338","r2637",0.702516705552
"99257","s2499","r2850",0.53517929058
"99279","s4255","r2850",0.642339774435
"99320","s8548","r2850",0.592510365456
"100203","s7391","r2948",0.519763795188
"100254","s5338","r2948",0.580515638661
"101101","s7391","r3037",0.547870437237
"101152","s5338","r3037",0.638246600579
"101929","s891","r3108",0.692268254931
"102035","s1162","r3108",0.528303697741
"102052","s7072","r3108",0.512581056394
"102409","s3189","r3142",0.52519399642
"102424","s4554","r3142",0.668219880449
"102464","s8555","r3142",0.640722956044
"102474","s9198","r3142",0.57286330595
"102479","s9712","r3142",0.513150535536
"102481","s9916","r3142",0.548378708179
"103284","s1251","r3189",0.525208082994
"103286","s1668","r3189",0.626379483103
"103307","s3189","r3189",0.533113491396
"103322","s4554","r3189",0.771764344926
"103362","s8555","r3189",0.751207090988
"103372","s9198","r3189",0.569064223863
"103377","s9712","r3189",0.650390454506
"103379","s9916","r3189",0.65909117013
"103832","s1301","r3221",0.512831421198
"103847","s6047","r3221",0.646465686478
"104737","s3517","r3319",0.510156420221
"105072","s891","r3399",0.547928855466
"107771","s1133","r3721",0.554938337363
"107839","s7971","r3721",0.555467141765
"107898","s8923","r3721",0.569351452376
"107899","s9171","r3721",0.599516063431
"108734","s7391","r3756",0.602580703953
"108761","s9327","r3756",0.507835479814
"108785","s5338","r3756",0.634402526492
"110011","s891","r3825",0.642284806283
"110019","s1251","r3825",0.530120702765
"110021","s1668","r3825",0.606250716887
"110057","s4554","r3825",0.663072504687
"110095","s8545","r3825",0.664809769445
"110097","s8555","r3825",0.631170826405
"110107","s9198","r3825",0.532265405576
"110112","s9712","r3825",0.59138233438
"110114","s9916","r3825",0.602830741984
